Date,Home,Away
2018-08-14,Cubs,Brewers
2018-08-29,Royals,Tigers
2018-05-12,Marlins,Braves
2018-06-01,Orioles,Yankees
2018-06-21,Nationals,Orioles
2018-08-10,Rockies,Dodgers
2018-09-13,Rockies,Diamondbacks
2018-07-08,Pirates,Phillies
2018-08-10,Tigers,Twins
2018-04-12,Rangers,Angels
2018-08-15,Tigers,White Sox
2018-06-12,Orioles,Red Sox
2018-04-04,Diamondbacks,Dodgers
2018-04-04,Angels,Indians
2018-05-01,Reds,Brewers
2018-03-29,Blue Jays,Yankees
2018-07-24,Marlins,Braves
2018-08-31,Phillies,Cubs
2018-04-15,Padres,Giants
2018-09-23,Nationals,Mets
2018-08-05,Mariners,Blue Jays
2018-06-28,Dodgers,Cubs
2018-04-28,Astros,Athletics
2018-09-21,Blue Jays,Rays
2018-09-19,Braves,Cardinals
2018-07-12,White Sox,Cardinals
2018-06-13,Royals,Reds
2018-06-29,Marlins,Mets
2018-06-30,Reds,Brewers
2018-04-14,Royals,Angels
2018-09-01,White Sox,Red Sox
2018-08-01,Diamondbacks,Rangers
2018-09-11,Red Sox,Blue Jays
2018-08-04,Nationals,Reds
2018-06-12,Phillies,Rockies
2018-07-27,Red Sox,Twins
2018-05-28,Athletics,Rays
2018-03-29,Mets,Cardinals
2018-05-23,Brewers,Diamondbacks
2018-06-21,Royals,Rangers
2018-09-06,Brewers,Cubs
2018-05-01,Mets,Braves
2018-09-23,Athletics,Twins
2018-07-04,Cubs,Tigers
2018-09-20,Athletics,Angels
